"date","score_avg","score_time","score_food","score_physiology","score_responsibilities","current_streak","energy"
"2026-03-23",13.89,11.76,10.0,14.67,19.13,1,79
"2026-03-24",16.3,13.53,20.0,16.0,15.65,2,85
"2026-03-25",13.11,15.0,5.0,13.33,19.13,2,77
"2026-03-26",14.76,14.12,15.0,16.0,13.91,3,72
"2026-03-27",11.66,9.41,10.0,13.33,13.91,4,58
"2026-03-28",15.62,13.53,15.0,18.57,15.38,5,69
"2026-03-29",15.98,15.59,10.0,20.0,18.33,6,77
"2026-03-30",14.02,10.88,10.0,18.67,16.52,7,82
"2026-03-31",16.51,13.53,20.0,16.0,16.52,8,86
"2026-04-01",17.29,11.76,20.0,20.0,17.39,9,76
"2026-04-02",18.09,12.35,20.0,20.0,20.0,10,71
"2026-04-03",16.25,12.94,20.0,14.67,17.39,11,63
"2026-04-04",12.15,11.18,5.0,18.57,13.85,11,76
"2026-04-05",15.85,12.94,15.0,17.14,18.33,12,76
"2026-04-06",16.18,11.76,20.0,17.33,15.65,13,87
"2026-04-07",14.67,11.76,10.0,18.67,18.26,14,81
"2026-04-08",15.53,12.35,15.0,20.0,14.78,15,72
"2026-04-09",16.03,13.53,15.0,17.33,18.26,16,77
"2026-04-10",4.84,2.94,5.0,5.33,6.09,0,51
"2026-04-11",17.2,18.82,10.0,20.0,20.0,1,71
"2026-04-12",14.35,13.82,15.0,18.57,10.0,2,77
"2026-04-13",18.97,15.88,20.0,20.0,20.0,3,86
"2026-04-14",15.07,9.71,15.0,17.33,18.26,4,83
"2026-04-15",16.89,12.35,20.0,18.67,16.52,5,83
"2026-04-16",16.32,9.71,20.0,17.33,18.26,6,71
"2026-04-17",15.01,11.18,15.0,17.33,16.52,7,59
"2026-04-18",13.15,10.88,15.0,12.86,13.85,8,75
"2026-04-19",13.79,13.24,5.0,18.57,18.33,8,77
"2026-04-20",18.02,12.06,20.0,20.0,20.0,9,87
"2026-04-21",16.11,15.29,10.0,20.0,19.13,10,81
"2026-04-22",14.6,11.47,10.0,18.67,18.26,11,79
"2026-04-23",14.82,11.18,20.0,13.33,14.78,12,68
"2026-04-24",14.71,7.65,20.0,14.67,16.52,12,
"2026-04-25",14.34,9.12,20.0,12.86,15.38,13,81
"2026-04-26",15.65,12.35,15.0,18.57,16.67,14,76
"2026-04-27",15.09,10.59,15.0,20.0,14.78,15,95
"2026-04-28",17.5,14.41,20.0,17.33,18.26,16,88
"2026-04-29",16.8,14.41,15.0,18.67,19.13,17,75
"2026-04-30",16.84,13.24,15.0,20.0,19.13,18,67
"2026-05-01",16.08,13.24,15.0,18.67,17.39,19,55
"2026-05-02",14.28,13.53,5.0,18.57,20.0,19,68
"2026-05-03",18.75,15.0,20.0,20.0,20.0,20,79
"2026-05-04",16.66,13.82,15.0,18.67,19.13,21,84
"2026-05-05",17.69,14.71,20.0,18.67,17.39,22,75
"2026-05-06",17.69,14.71,20.0,18.67,17.39,23,78
"2026-05-07",15.35,12.06,15.0,18.67,15.65,24,75
"2026-05-08",4.44,0.0,5.0,6.67,6.09,0,48
"2026-05-09",13.23,13.24,10.0,14.29,15.38,1,77
"2026-05-10",15.66,12.65,10.0,20.0,20.0,2,82
"2026-05-11",15.23,12.65,10.0,20.0,18.26,3,79
"2026-05-12",15.85,10.0,20.0,16.0,17.39,4,90
"2026-05-13",14.7,12.94,15.0,18.67,12.17,5,75
"2026-05-14",16.73,10.88,20.0,18.67,17.39,6,69
"2026-05-15",14.01,11.18,15.0,13.33,16.52,7,65
"2026-05-16",14.89,10.0,20.0,15.71,13.85,8,69
"2026-05-17",16.24,14.71,15.0,18.57,16.67,9,78
"2026-05-18",15.09,9.71,15.0,20.0,15.65,10,82
"2026-05-19",15.55,10.29,15.0,18.67,18.26,11,79
"2026-05-20",15.44,14.71,15.0,14.67,17.39,12,86
"2026-05-21",16.69,10.29,20.0,17.33,19.13,13,71
"2026-05-22",16.4,13.53,20.0,14.67,17.39,14,67
"2026-05-23",16.25,10.0,15.0,20.0,20.0,15,70
"2026-05-24",16.12,12.35,20.0,17.14,15.0,16,87
"2026-05-25",18.16,17.65,15.0,20.0,20.0,17,
"2026-05-26",16.4,15.88,15.0,17.33,17.39,18,78
"2026-05-27",13.05,12.06,5.0,16.0,19.13,18,78
"2026-05-28",17.62,14.41,20.0,18.67,17.39,19,71
"2026-05-29",14.7,12.35,20.0,16.0,10.43,20,56
"2026-05-30",16.19,10.59,20.0,15.71,18.46,21,74
"2026-05-31",16.45,11.76,20.0,15.71,18.33,22,74
