"calendar_date","domain_name","domain_score","weekday_flag","previous_day_score","previous_comparable_day_score"
"2025-01-01",Time,,1,,
"2025-01-01",Diet,,1,,
"2025-01-01",Physiology,,1,,
"2025-01-01",Responsibilities,,1,,
"2025-01-02",Time,,1,,
"2025-01-02",Diet,,1,,
"2025-01-02",Physiology,,1,,
"2025-01-02",Responsibilities,,1,,
"2025-01-03",Time,,1,,
"2025-01-03",Diet,,1,,
"2025-01-03",Physiology,,1,,
"2025-01-03",Responsibilities,,1,,
"2025-01-04",Time,,0,,
"2025-01-04",Diet,,0,,
"2025-01-04",Physiology,,0,,
"2025-01-04",Responsibilities,,0,,
"2025-01-05",Time,,0,,
"2025-01-05",Diet,,0,,
"2025-01-05",Physiology,,0,,
"2025-01-05",Responsibilities,,0,,
"2025-01-06",Time,,1,,
"2025-01-06",Diet,,1,,
"2025-01-06",Physiology,,1,,
"2025-01-06",Responsibilities,,1,,
"2025-01-07",Time,,1,,
"2025-01-07",Diet,,1,,
"2025-01-07",Physiology,,1,,
"2025-01-07",Responsibilities,,1,,
"2025-01-08",Time,,1,,
"2025-01-08",Diet,,1,,
"2025-01-08",Physiology,,1,,
"2025-01-08",Responsibilities,,1,,
"2025-01-09",Time,,1,,
"2025-01-09",Diet,,1,,
"2025-01-09",Physiology,,1,,
"2025-01-09",Responsibilities,,1,,
"2025-01-10",Time,,1,,
"2025-01-10",Diet,,1,,
"2025-01-10",Physiology,,1,,
"2025-01-10",Responsibilities,,1,,
"2025-01-11",Time,,0,,
"2025-01-11",Diet,,0,,
"2025-01-11",Physiology,,0,,
"2025-01-11",Responsibilities,,0,,
"2025-01-12",Time,,0,,
"2025-01-12",Diet,,0,,
"2025-01-12",Physiology,,0,,
"2025-01-12",Responsibilities,,0,,
"2025-01-13",Time,,1,,
"2025-01-13",Diet,,1,,
"2025-01-13",Physiology,,1,,
"2025-01-13",Responsibilities,,1,,
"2025-01-14",Time,,1,,
"2025-01-14",Diet,,1,,
"2025-01-14",Physiology,,1,,
"2025-01-14",Responsibilities,,1,,
"2025-01-15",Time,,1,,
"2025-01-15",Diet,,1,,
"2025-01-15",Physiology,,1,,
"2025-01-15",Responsibilities,,1,,
"2025-01-16",Time,,1,,
"2025-01-16",Diet,,1,,
"2025-01-16",Physiology,,1,,
"2025-01-16",Responsibilities,,1,,
"2025-01-17",Time,,1,,
"2025-01-17",Diet,,1,,
"2025-01-17",Physiology,,1,,
"2025-01-17",Responsibilities,,1,,
"2025-01-18",Time,,0,,
"2025-01-18",Diet,,0,,
"2025-01-18",Physiology,,0,,
"2025-01-18",Responsibilities,,0,,
"2025-01-19",Time,,0,,
"2025-01-19",Diet,,0,,
"2025-01-19",Physiology,,0,,
"2025-01-19",Responsibilities,,0,,
"2025-01-20",Time,,1,,
"2025-01-20",Diet,,1,,
"2025-01-20",Physiology,,1,,
"2025-01-20",Responsibilities,,1,,
"2025-01-21",Time,,1,,
"2025-01-21",Diet,,1,,
"2025-01-21",Physiology,,1,,
"2025-01-21",Responsibilities,,1,,
"2025-01-22",Time,,1,,
"2025-01-22",Diet,,1,,
"2025-01-22",Physiology,,1,,
"2025-01-22",Responsibilities,,1,,
"2025-01-23",Time,,1,,
"2025-01-23",Diet,,1,,
"2025-01-23",Physiology,,1,,
"2025-01-23",Responsibilities,,1,,
"2025-01-24",Time,,1,,
"2025-01-24",Diet,,1,,
"2025-01-24",Physiology,,1,,
"2025-01-24",Responsibilities,,1,,
"2025-01-25",Time,,0,,
"2025-01-25",Diet,,0,,
"2025-01-25",Physiology,,0,,
"2025-01-25",Responsibilities,,0,,
"2025-01-26",Time,,0,,
"2025-01-26",Diet,,0,,
"2025-01-26",Physiology,,0,,
"2025-01-26",Responsibilities,,0,,
"2025-01-27",Time,,1,,
"2025-01-27",Diet,,1,,
"2025-01-27",Physiology,,1,,
"2025-01-27",Responsibilities,,1,,
"2025-01-28",Time,,1,,
"2025-01-28",Diet,,1,,
"2025-01-28",Physiology,,1,,
"2025-01-28",Responsibilities,,1,,
"2025-01-29",Time,,1,,
"2025-01-29",Diet,,1,,
"2025-01-29",Physiology,,1,,
"2025-01-29",Responsibilities,,1,,
"2025-01-30",Time,,1,,
"2025-01-30",Diet,,1,,
"2025-01-30",Physiology,,1,,
"2025-01-30",Responsibilities,,1,,
"2025-01-31",Time,,1,,
"2025-01-31",Diet,,1,,
"2025-01-31",Physiology,,1,,
"2025-01-31",Responsibilities,,1,,
"2025-02-01",Time,,0,,
"2025-02-01",Diet,,0,,
"2025-02-01",Physiology,,0,,
"2025-02-01",Responsibilities,,0,,
"2025-02-02",Time,,0,,
"2025-02-02",Diet,,0,,
"2025-02-02",Physiology,,0,,
"2025-02-02",Responsibilities,,0,,
"2025-02-03",Time,,1,,
"2025-02-03",Diet,,1,,
"2025-02-03",Physiology,,1,,
"2025-02-03",Responsibilities,,1,,
"2025-02-04",Time,,1,,
"2025-02-04",Diet,,1,,
"2025-02-04",Physiology,,1,,
"2025-02-04",Responsibilities,,1,,
"2025-02-05",Time,,1,,
"2025-02-05",Diet,,1,,
"2025-02-05",Physiology,,1,,
"2025-02-05",Responsibilities,,1,,
"2025-02-06",Time,,1,,
"2025-02-06",Diet,,1,,
"2025-02-06",Physiology,,1,,
"2025-02-06",Responsibilities,,1,,
"2025-02-07",Time,,1,,
"2025-02-07",Diet,,1,,
"2025-02-07",Physiology,,1,,
"2025-02-07",Responsibilities,,1,,
"2025-02-08",Time,,0,,
"2025-02-08",Diet,,0,,
"2025-02-08",Physiology,,0,,
"2025-02-08",Responsibilities,,0,,
"2025-02-09",Time,,0,,
"2025-02-09",Diet,,0,,
"2025-02-09",Physiology,,0,,
"2025-02-09",Responsibilities,,0,,
"2025-02-10",Time,,1,,
"2025-02-10",Diet,,1,,
"2025-02-10",Physiology,,1,,
"2025-02-10",Responsibilities,,1,,
"2025-02-11",Time,,1,,
"2025-02-11",Diet,,1,,
"2025-02-11",Physiology,,1,,
"2025-02-11",Responsibilities,,1,,
"2025-02-12",Time,,1,,
"2025-02-12",Diet,,1,,
"2025-02-12",Physiology,,1,,
"2025-02-12",Responsibilities,,1,,
"2025-02-13",Time,,1,,
"2025-02-13",Diet,,1,,
"2025-02-13",Physiology,,1,,
"2025-02-13",Responsibilities,,1,,
"2025-02-14",Time,,1,,
"2025-02-14",Diet,,1,,
"2025-02-14",Physiology,,1,,
"2025-02-14",Responsibilities,,1,,
"2025-02-15",Time,,0,,
"2025-02-15",Diet,,0,,
"2025-02-15",Physiology,,0,,
"2025-02-15",Responsibilities,,0,,
"2025-02-16",Time,,0,,
"2025-02-16",Diet,,0,,
"2025-02-16",Physiology,,0,,
"2025-02-16",Responsibilities,,0,,
"2025-02-17",Time,,1,,
"2025-02-17",Diet,,1,,
"2025-02-17",Physiology,,1,,
"2025-02-17",Responsibilities,,1,,
"2025-02-18",Time,,1,,
"2025-02-18",Diet,,1,,
"2025-02-18",Physiology,,1,,
"2025-02-18",Responsibilities,,1,,
"2025-02-19",Time,,1,,
"2025-02-19",Diet,,1,,
"2025-02-19",Physiology,,1,,
"2025-02-19",Responsibilities,,1,,
"2025-02-20",Time,,1,,
"2025-02-20",Diet,,1,,
"2025-02-20",Physiology,,1,,
"2025-02-20",Responsibilities,,1,,
"2025-02-21",Time,,1,,
"2025-02-21",Diet,,1,,
"2025-02-21",Physiology,,1,,
"2025-02-21",Responsibilities,,1,,
"2025-02-22",Time,,0,,
"2025-02-22",Diet,,0,,
"2025-02-22",Physiology,,0,,
"2025-02-22",Responsibilities,,0,,
"2025-02-23",Time,,0,,
"2025-02-23",Diet,,0,,
"2025-02-23",Physiology,,0,,
"2025-02-23",Responsibilities,,0,,
"2025-02-24",Time,,1,,
"2025-02-24",Diet,,1,,
"2025-02-24",Physiology,,1,,
"2025-02-24",Responsibilities,,1,,
"2025-02-25",Time,,1,,
"2025-02-25",Diet,,1,,
"2025-02-25",Physiology,,1,,
"2025-02-25",Responsibilities,,1,,
"2025-02-26",Time,,1,,
"2025-02-26",Diet,,1,,
"2025-02-26",Physiology,,1,,
"2025-02-26",Responsibilities,,1,,
"2025-02-27",Time,,1,,
"2025-02-27",Diet,,1,,
"2025-02-27",Physiology,,1,,
"2025-02-27",Responsibilities,,1,,
"2025-02-28",Time,,1,,
"2025-02-28",Diet,,1,,
"2025-02-28",Physiology,,1,,
"2025-02-28",Responsibilities,,1,,
"2025-03-01",Time,,0,,
"2025-03-01",Diet,,0,,
"2025-03-01",Physiology,,0,,
"2025-03-01",Responsibilities,,0,,
"2025-03-02",Time,,0,,
"2025-03-02",Diet,,0,,
"2025-03-02",Physiology,,0,,
"2025-03-02",Responsibilities,,0,,
"2025-03-03",Time,,1,,
"2025-03-03",Diet,,1,,
"2025-03-03",Physiology,,1,,
"2025-03-03",Responsibilities,,1,,
"2025-03-04",Time,,1,,
"2025-03-04",Diet,,1,,
"2025-03-04",Physiology,,1,,
"2025-03-04",Responsibilities,,1,,
"2025-03-05",Time,,1,,
"2025-03-05",Diet,,1,,
"2025-03-05",Physiology,,1,,
"2025-03-05",Responsibilities,,1,,
"2025-03-06",Time,,1,,
"2025-03-06",Diet,,1,,
"2025-03-06",Physiology,,1,,
"2025-03-06",Responsibilities,,1,,
"2025-03-07",Time,,1,,
"2025-03-07",Diet,,1,,
"2025-03-07",Physiology,,1,,
"2025-03-07",Responsibilities,,1,,
"2025-03-08",Time,,0,,
"2025-03-08",Diet,,0,,
"2025-03-08",Physiology,,0,,
"2025-03-08",Responsibilities,,0,,
"2025-03-09",Time,,0,,
"2025-03-09",Diet,,0,,
"2025-03-09",Physiology,,0,,
"2025-03-09",Responsibilities,,0,,
"2025-03-10",Time,,1,,
"2025-03-10",Diet,,1,,
"2025-03-10",Physiology,,1,,
"2025-03-10",Responsibilities,,1,,
"2025-03-11",Time,,1,,
"2025-03-11",Diet,,1,,
"2025-03-11",Physiology,,1,,
"2025-03-11",Responsibilities,,1,,
"2025-03-12",Time,,1,,
"2025-03-12",Diet,,1,,
"2025-03-12",Physiology,,1,,
"2025-03-12",Responsibilities,,1,,
"2025-03-13",Time,,1,,
"2025-03-13",Diet,,1,,
"2025-03-13",Physiology,,1,,
"2025-03-13",Responsibilities,,1,,
"2025-03-14",Time,,1,,
"2025-03-14",Diet,,1,,
"2025-03-14",Physiology,,1,,
"2025-03-14",Responsibilities,,1,,
"2025-03-15",Time,,0,,
"2025-03-15",Diet,,0,,
"2025-03-15",Physiology,,0,,
"2025-03-15",Responsibilities,,0,,
"2025-03-16",Time,,0,,
"2025-03-16",Diet,,0,,
"2025-03-16",Physiology,,0,,
"2025-03-16",Responsibilities,,0,,
"2025-03-17",Time,,1,,
"2025-03-17",Diet,,1,,
"2025-03-17",Physiology,,1,,
"2025-03-17",Responsibilities,,1,,
"2025-03-18",Time,,1,,
"2025-03-18",Diet,,1,,
"2025-03-18",Physiology,,1,,
"2025-03-18",Responsibilities,,1,,
"2025-03-19",Time,,1,,
"2025-03-19",Diet,,1,,
"2025-03-19",Physiology,,1,,
"2025-03-19",Responsibilities,,1,,
"2025-03-20",Time,,1,,
"2025-03-20",Diet,,1,,
"2025-03-20",Physiology,,1,,
"2025-03-20",Responsibilities,,1,,
"2025-03-21",Time,,1,,
"2025-03-21",Diet,,1,,
